#{"t_start": 1775617342.4395812, "env_id": "None"}
r,l,t
-0.022008,100,202.162843
-0.023101,100,202.34969
-0.026971,100,202.519716
-0.019615,100,202.693927
-0.018937,100,202.864054
-0.016059,100,203.034408
-0.020517,100,203.208684
-0.019974,100,203.399712
-0.019297,100,205.82199
-0.021627,100,206.003577
-0.017035,100,206.189996
-0.024518,100,206.393178
-0.021667,100,206.580746
-0.021322,100,206.763772
-0.024862,100,206.94844
-0.024564,100,207.650509
-0.019881,100,207.835748
-0.020348,100,208.021014
-0.022564,100,208.211717
-0.021679,100,208.403553
-0.023451,100,208.589935
-0.020713,100,208.785153
-0.023714,100,208.984169
-0.021763,100,209.186596
-0.025866,100,209.403129
-0.022233,100,209.625056
-0.021998,100,209.835063
-0.020572,100,210.051019
-0.024386,100,212.703838
-0.017699,100,212.887035
-0.017024,100,213.069179
-0.019004,100,213.250984
-0.025027,100,213.438653
-0.026187,100,213.637627
-0.023317,100,213.824179
-0.019584,100,213.87919
-0.019923,100,214.085672
-0.026888,100,214.27065
-0.020878,100,214.494162
-0.023907,100,214.746469
-0.019785,100,214.968997
-0.023498,100,215.186932
-0.024884,100,215.383154
-0.02148,100,215.596188
-0.02213,100,215.821432
-0.019999,100,216.027676
-0.021567,100,216.2093
-0.019049,100,216.385617
-0.0224,100,216.591238
-0.019065,100,219.186025
-0.018831,100,219.382449
-0.018849,100,219.593592
-0.020173,100,219.783115
-0.02265,100,219.984181
-0.017968,100,220.189269
-0.020189,100,220.94027
-0.019117,100,221.180129
-0.023024,100,221.37073
-0.019873,100,221.562074
-0.020189,100,221.750946
-0.018366,100,221.943383
-0.024276,100,222.13649
-0.020232,100,222.32829
-0.021121,100,222.523291
-0.020337,100,222.742793
-0.022139,100,222.952737
-0.02347,100,223.191054
-0.022297,100,223.387693
-0.019654,100,223.587884
-0.023484,100,226.291448
-0.016844,100,226.512642
-0.023238,100,226.726896
-0.022869,100,226.980311
-0.019159,100,227.231076
-0.022978,100,227.448056
-0.021863,100,228.176367
-0.025148,100,228.332935
-0.020819,100,228.486178
-0.022469,100,228.646205
-0.023213,100,228.817772
-0.021424,100,228.983038
-0.020183,100,229.152246
-0.024517,100,229.339064
-0.02152,100,229.509238
-0.022374,100,229.66264
-0.017763,100,229.813741
-0.018402,100,229.983579
-0.019657,100,230.145481
-0.02227,100,230.296073
-0.016842,100,230.445268
-0.020676,100,232.556304
-0.020406,100,232.758036
-0.02021,100,232.955284
-0.018779,100,233.164668
-0.015566,100,233.366581
-0.024288,100,234.050883
-0.020642,100,234.234628
-0.020241,100,234.417626
